SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,LUMEANTS92,LUMEDTS92,LUMEANTS93,LUMEDTS93,LUMEANTS94,LUMEDTS94,LUMEANTS95,LUMEDTS95,LUMEANTS96,LUMEDTS96,LUMEANTS97,LUMEDTS97,LUMEANTS98,LUMEDTS98,LUMEANTS99,LUMEDTS99,LUMEANTS00,LUMEDTS00,LUMEANTS01,LUMEDTS01,LUMEANTS02,LUMEDTS02,LUMEANTS03,LUMEDTS03,LUMEANTS04,LUMEDTS04,LUMEANTS05,LUMEDTS05,LUMEANTS06,LUMEDTS06,LUMEANTS07,LUMEDTS07,LUMEANTS08,LUMEDTS08,LUMEANTS09,LUMEDTS09,LUMEANTS10,LUMEDTS10,LUMEANTS11,LUMEDTS11,LUMEANTS12,LUMEDTS12,LUMEANTS13,LUMEDTS13,LUMEANTS14,LUMEDTS14,LUMEANTS15,LUMEDTS15,LUMEANTS16,LUMEDTS16,LUMEANTS17,LUMEDTS17,LUMEANTS18,LUMEDTS18
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,0.034666998,0,0.045352883,0,0.061257455,0,0.07082505,0,0.076292247,0,0.058648111,0,0.061754473,0,0.068588469,0,0.067594433,0,0.088220676,0,0.078280318,0,0.036282306,0,0.070079523,0,0.070700795,0,0.064860835,0,0.081138171,0,0.105119284,0,0.100894632,0,0.381709742,0,0.20054672,0,0.15444831,0,0.155193837,0,0.006707771529236398,0,0.0026424554509113084,0,0.014883573864534634,0,0.020281410212977392,0,0.022472163877408136,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,0.002781641,0,0.009735744,0,0.010508422,0,0.012671921,0,0.024416628,0,0.020862309,0,0.028743625,0,0.018544274,0,0.032916087,0,0.035852264,0,0.0360068,0,0.027661876,0,0.06351414,0,0.051614897,0,0.05115129,0,0.100139082,0,0.071395457,0,0.076958739,0,0.293617679,0,0.200741771,0,0.121619533,0,0.122392211,0,0.006846816510929651,0,0.00011224289362179757,0,0.001010186042596178,0,0.0035356511490866236,0,0.004938687319359093,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004733921,0,0.004407444,0,0,0,0,0,0,0,0,0,0.052562847,0,0.053052563,0,0.053542279,0,0.054521711,0,0.004738912732474964,0,0,0,0,0,0.00020863137815927516,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002734108,0,0.002734108,0,0.002236997,0,0.007829491,0,0.005530355,0,0.00683527,0,0.030448021,0,0.044429255,0,0.061579569,0,0.151556577,0,0.111663456,0,0.10513888,0,0.111042068,0,0.005914799535021539,0,0.0019602033141111848,0,0.003213821712670663,0,0.002165340870239099,0,0.000660998791967725,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,0,0,0,0,0,0,0.01039783,0,0.003842676,0,0.001356239,0,0.002034358,0,0.004972875,0,0.00994575,0,0.021473779,0,0.027350814,0,0.02034358,0,0.024412297,0,0.012884268,0,0.045207957,0,0.054927667,0,0.049276673,0,0.051311031,0,0.181057866,0,0.092450271,0,0.009267631,0,0.014918626,0,0.02272257797975625,0,4.131377814501136e-05,0,0.0005783928940301591,0,0.013881429456723817,0,0.0012807271224953521,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012953967,0,0.0020347604917337857,0,0,0,0,0,0.0005086901229334464,0,0,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,0.014243615,0,0.032784872,0,0.019155206,0,0.025663065,0,0.027013752,0,0.019155206,0,0.019032417,0,0.007858546,0,0.035977407,0,0.033398821,0,0.037450884,0,0.01117387,0,0.032416503,0,0.023452849,0,0.013261297,0,0.041994106,0,0.033030452,0,0.020137525,0,0.101424361,0,0.052676817,0,0.05685167,0,0.07944499,0,0.00255464723653812,0,0.001532788341922872,0,0.00888572951839346,0,0.009196730051537231,0,0.009885374089212725,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,0.016140351,0,0.018245614,0,0.027836257,0,0.036491228,0,0.090994152,0,0.109239766,0,0.090760234,0,0.064795322,0,0.13122807,0,0.087719298,0,0.128888889,0,0.052631579,0,0.089122807,0,0.061520468,0,0.065497076,0,0.092397661,0,0.068304094,0,0.052397661,0,0.175906433,0,0.07251462,0,0.056608187,0,0.093567251,0,0.004707578777725942,0,0.00016964247847661053,0,0.0041562407226769585,0,0.007124984096017643,0,0.007845964629543237,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,0.028153908,0,0.055905617,0,0.06542432,0,0.128167315,0,0.110738705,0,0.138356348,0,0.151360772,0,0.203646601,0,0.346695267,0,0.476203244,0,0.385842606,0,0.182196005,0,0.285024802,0,0.269875318,0,0.28261161,0,0.39991956,0,0.36117442,0,0.362112884,0,0.944228449,0,0.723555436,0,0.608928811,0,0.4593109,0,0.009400102546573235,0,0.00815489415728691,0,0.03874795517249799,0,0.05393461435163708,0,0.06460434113826696,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,0.051013025,0,0.050289436,0,0.035817656,0,0.048118669,0,0.043053546,0,0.040520984,0,0.035094067,0,0.032561505,0,0.110347323,0,0.074529667,0,0.123733719,0,0.060781476,0,0.147250362,0,0.09406657,0,0.090448625,0,0.172214182,0,0.162445731,0,0.129160637,0,0.475759768,0,0.396526773,0,0.341172214,0,0.30463097,0,0.013953185107908979,0,0.003781704375040751,0,0.014344395905326986,0,0.02601551802829758,0,0.025754710830018908,0
